"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FID3,FID2,FID6,FID5";"Fiducial1x3";4;"Fiducial";;;
2;"R32,R6,R18,R19,R48,R37,R39,R2,R25,R1,R36";"R_0402_5MIL_DWS";11;"10k/R0402";;;
3;"BUT1,RST1";"IT1185AU2_V2";2;"IT1185AU2";;;
4;"C1,C6,C22,C7,C19,C10,C9,C13";"C_0603_5MIL_DWS";8;"22uF/6.3V/20%/X5R/C0603";;;
5;"U3";"SOT-23-5";1;"TP4054-42-SOT25-R(SOT23-5)";;;
6;"R4";"R_0402_5MIL_DWS";1;"47k/R0402";;;
7;"R9";"R_0402_5MIL_DWS";1;"100k/R0402";;;
8;"CHRG1,ACT1";"LED_0603_KA";2;"LED/YELLOW/0603";;;
9;"PWR1";"LED_0603_KA";1;"LED/RED/0603";;;
10;"R5,R14,R15,R8,R31,R35";"R_0402_5MIL_DWS";6;"2.2k/R0402";;;
11;"FID1,FID7,FID4,FID8";"Fiducial1x3_Paste";4;"Fiducial";;;
12;"C11,C8,C18,C16,C15,C14";"C_0402_5MIL_DWS";6;"100nF/10V/20%/X5R/C0402";;;
13;"FET1,FET2,FET3";"SOT23";3;"IRLML6402TRPbF";;;
14;"L2";"L_2016_MM";1;"1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00)";;;
15;"R30";"R_0402_5MIL_DWS";1;"49.9k/1%/R0402";;;
16;"R29";"R_0402_5MIL_DWS";1;"220k/R0402";;;
17;"U7";"SOT-563-6";1;"TPS62A02ADRLR(SOT-563-6)";;;
18;"LNK1";"LED_0603_KA";1;"LED/GREEN/0603";;;
19;"L3,L5,L1";"L_0805_5MIL_DWS";3;"FB0805/600R/2A";;;
20;"DCDC1";"SIP-7_Universal";1;"F0505S-2WR2(SIP-7)";;;
21;"C27";"CPOL-RM2.5mm_6.3x11mm_PTH";1;"15uF/100V/20%/RM2.5/6.3x11mm(Farnell:1281844)";;;
22;"U1";"MSOP-10_Pitch-0.5mm_3.00x3.00x1.00mm";1;"CH340X(MSOP-10)";;;
23;"D6,D7,D3,D1,D4,D9";"SOD-123_1C-2A_KA";6;"1N5819S4/SOD123";;;
24;"R17,R49";"R_0402_5MIL_DWS";2;"NA/R0402";;;
25;"USB-UART1";"USB-MICRO_MISB-SWMM-5B_LF";1;"MISB-SWMM-5B-LF(USB_MICRO)";;;
26;"TVS1";"SOT-23-5";1;"ESDS314DBVR(SOT-23-5)";;;
27;"LAN_CON1";"RJP-003TC1(LPJ4112CNL)";1;"RJP-003TC1(LPJ4112CNL)";;;
28;"UEXT1";"GBH-254-SMT-10";1;"P-B-V-10-LF";;;
29;"R28";"R_1206_5MIL_DWS";1;"0.03R/1%/R1206";;;
30;"L4";"DBS135";1;"33uH/2.1A/DCR=0.1R/20%/DBS135(PD3316MT330)";;;
31;"C26";"CPOL-RM2.5mm_6.3x11mm_PTH";1;"470uF/10V/20%/Low_ESR/RM2.5/6.0x11mm";;;
32;"R47,R46,R24";"R_0402_5MIL_DWS";3;"220R/R0402";;;
33;"C24,C12";"C_0603_5MIL_DWS";2;"100nF/100V/10%/X7R/C0603";;;
34;"D10";"SMA-KA";1;"SMAJ58A/SMA";;;
35;"U6";"ESP32-WROVER_MODULE";1;"ESP32-WROOM-32E-N4";;;
36;"MH1,MH2,MH3";"NPTH_2.2mm";3;"Mounting_Hole_NPTH";;;
37;"BAT1";"LIPO_BAT_VERTICAL_DW02S";1;"DW02S";;;
38;"R43";"R_0402_5MIL_DWS";1;"4.7k/R0402";;;
39;"C30";"C_0402_5MIL_DWS";1;"NA(120pF/50V/5%/C0G/C0402)";;;
40;"EXT2,EXT1";"HN1x10";2;"NS(HN1x10)";;;
41;"R40";"R_0402_5MIL_DWS";1;"10R/R0402";;;
42;"RM3,RM2,RM1";"R_MATRIX_4";3;"RA1206_(4X0603)_4B8_2.2k";;;
43;"C2";"C_1206_5MIL_DWS_ISO";1;"1nF/2000V/10%/X7R/C1206";;;
44;"C20";"C_1808(4520)_5MIL_DWS_ISO";1;"NA(1.0nF/3kV/10%/X7R/SMD/1808(VISHAY-VJ1808Y102KBHAT4X_Farnell-2407291))";;;
45;"C23";"C_1808(4520)_5MIL_DWS_ISO";1;"1.0nF/3kV/10%/X7R/SMD/1808(VISHAY-VJ1808Y102KBHAT4X_Farnell-2407291)";;;
46;"R3,R20,R21";"R_0402_5MIL_DWS";3;"1k/R0402";;;
47;"C21";"C_0603_5MIL_DWS";1;"NA(10uF/6.3V/20%/X5R/C0603)";;;
48;"C17";"C_0603_5MIL_DWS";1;"2.2uF/6.3V/10%/X5R/C0603";;;
49;"U4";"QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm";1;"LAN8710A-EZC(QFN32)";;;
50;"T1";"SOT23";1;"LMUN2211LT1G(SOT-23)";;;
51;"R12,R11,R10,R13";"R_0402_5MIL_DWS";4;"49.9R/1%/R0402";;;
52;"R16,R7";"R_0402_5MIL_DWS";2;"470k/R0402";;;
53;"R26";"R_0402_5MIL_DWS";1;"12.1k/1%/R0402";;;
54;"Q3,Q2";"SOT23";2;"BC817-40(SOT23)";;;
55;"D2";"SOT23-3";1;"BAT54C(SOT23-3)";;;
56;"TVS2,TVS3";"D_0402_5MIL_DWS";2;"NA(GG0402052R542P)";;;
57;"C3";"C_0805_5MIL_DWS";1;"47uF/6.3V/20%/X5R/C0805";;;
58;"D8";"DO214AA_1(K)-2(A)";1;"NA(SMBJ6.0A)";;;
59;"C25";"C_0402_5MIL_DWS";1;"12pF/50V/5%/COG/C0402";;;
60;"R22";"R_0402_5MIL_DWS";1;"24.9k/1%/R0402";;;
61;"R23";"R_0402_5MIL_DWS";1;"1.27k/1%/62.5mW/R0402";;;
62;"C28";"C_0402_5MIL_DWS";1;"1nF/50V/10%/X7R/C0402";;;
63;"R33";"R_0402_5MIL_DWS";1;"4.7R/R0402";;;
64;"D5";"DO214AB(SMC)_1(K)-2(A)";1;"SS510/100V/5A/0.85V/DO214AB(SMC)";;;
65;"R41,R27";"R_2512_MM_DWS";2;"9.1k/1W/R2512";;;
66;"U5";"ESOIC-8";1;"TX4138(ESOIC-8)";;;
67;"R34";"R_0402_5MIL_DWS";1;"10.5k/1%/R0402";;;
68;"C29";"C_0402_5MIL_DWS";1;"NA(100nF/10V/20%/X5R/C0402)";;;
69;"U8";"SOT-23-5";1;"NA(SN74LVC1G04DBVR(SOT23-5))";;;
70;"R42";"R_0402_5MIL_DWS";1;"NA(10R/R0402)";;;
71;"C31";"C_0603_5MIL_DWS";1;"1uF/10V/10%/X5R/C0603";;;
72;"MICRO_SD1";"uSD(TFC-9P-1.xH(ATFFS150A01BR016))";1;"TFC-9P-1.7H(ATFFS150A01BR016)";;;
